specialisation,subspecialisation,name,lga,workspaceName,latitude,longitude
Asset,Solar Farm,Yuendumu Solar Farm,Central Desert,Central Desert Asset Model,-22.24259062,131.7931457
Asset,Solar Farm,Ti-Tree Solar Farm,Central Desert,Central Desert Asset Model,-22.12423175,133.4146272
Asset,Major Project,Australia-Asia Power Link,Barkly,Barkly Asset Model,-18.19049743,133.4073546
Asset,Fossil Fuel Power Station,Elliott,Barkly,Barkly Asset Model,-17.55036755,133.5392966
Asset,Natural Gas Power Station,Warrego,Barkly,Barkly Asset Model,-19.443393,133.823587
Asset,Hydrogen Hub,Green Springs Project,Barkly,Barkly Asset Model,-20.6596,134.0915194
Asset,Natural Gas Power Station,Tennant Creek,Barkly,Barkly Asset Model,-19.65493,134.175285
Asset,Hydrogen Hub,Desert Bloom Hydrogen,Barkly,Barkly Asset Model,-19.64655,134.19093
Asset,Substation,Tennant Creek,Barkly,Barkly Asset Model,-19.65442602,134.1754761
Asset,Substation,Manton,Coomalie,Coomalie Asset Model,-12.89475756,131.1394392
Asset,Substation,Bundey,Unincorporated NT,Unincorporated NT Asset Model,-12.8237996,131.573924
Asset,Substation,Marrakai,Unincorporated NT,Unincorporated NT Asset Model,-12.74718875,131.4791735
Asset,Fossil Fuel Power Station,Ranger Mine,West Arnhem,West Arnhem Asset Model,-12.68290253,132.9208963
Asset,Substation,Mandorah,Wagait,Wagait Asset Model,-12.44531483,130.7657398
Asset,Substation,Mandorah,Unincorporated NT,Unincorporated NT Asset Model,-12.44709942,130.7409458
Asset,Substation,Cox Peninsula,Unincorporated NT,Unincorporated NT Asset Model,-12.41256472,130.6267172
Asset,Substation,Pine Creek,Victoria Daly,Victoria Daly Asset Model,-13.80807627,131.8368077
Asset,Natural Gas Power Station,Pine Creek,Victoria Daly,Victoria Daly Asset Model,-13.78561,131.862362
Asset,Substation,Pine Creek,Victoria Daly,Victoria Daly Asset Model,-13.78471168,131.8621584
Asset,Natural Gas Power Station,Wadeye,West Daly,West Daly Asset Model,-14.260185,129.5368436
Asset,Hydrogen Hub,Tiwi H2,Tiwi Islands,Tiwi Islands Asset Model,-11.42171,130.42456
Asset,Fossil Fuel Power Station,Angurugu,East Arnhem,East Arnhem Asset Model,-13.85841125,136.420873
Asset,Fuel Terminal,Groote Eylandt,East Arnhem,East Arnhem Asset Model,-13.85915661,136.42202
Asset,Fuel Terminal,Gove,East Arnhem,East Arnhem Asset Model,-12.1975174,136.6799316
Asset,Fossil Fuel Power Station,Nhulunbuy,East Arnhem,East Arnhem Asset Model,-12.18893876,136.6872389
Asset,Solar Farm,Daly Waters Solar Farm,Roper Gulf,Roper Gulf Asset Model,-16.26963456,133.3758544
Asset,Substation,Edith River,Roper Gulf,Roper Gulf Asset Model,-14.19518839,132.0528849
Asset,Natural Gas Power Station,McArthur River Mine,Roper Gulf,Roper Gulf Asset Model,-16.43349825,136.0934595
Asset,Fossil Fuel Power Station,Borroloola Community,Roper Gulf,Roper Gulf Asset Model,-16.05409112,136.307945
Asset,Fuel Depot,Borroloola,Roper Gulf,Roper Gulf Asset Model,-16.05433464,136.3080673
Asset,Solar Farm,Borroloola Community Solar Farm,Roper Gulf,Roper Gulf Asset Model,-16.05358337,136.3082074
